budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
11000000.0,2010-09-23,0.0,Mother's Day,9,2010,R,Fall,Crime,-11000000.0,Briana Evigan,actress,"[""Annette""]"
11000000.0,2010-09-23,0.0,Mother's Day,9,2010,R,Fall,Crime,-11000000.0,Jaime King,actress,"[""Beth""]"
250000.0,2011-04-26,0.0,Elle: A Modern Cinderella Tale,4,2011,G,Spring,Fantasy,-250000.0,Thomas Calabro,actor,"[""Uncle Allen""]"
250000.0,2011-04-26,0.0,Elle: A Modern Cinderella Tale,4,2011,G,Spring,Fantasy,-250000.0,Sterling Knight,actor,"[""Ty Parker""]"
250000.0,2011-04-26,0.0,Elle: A Modern Cinderella Tale,4,2011,G,Spring,Fantasy,-250000.0,Kiely Williams,actress,"[""Kandi Kane""]"
250000.0,2011-04-26,0.0,Elle: A Modern Cinderella Tale,4,2011,G,Spring,Fantasy,-250000.0,Ashlee Hewitt,actress,"[""Elle Daniels""]"
8000000.0,2011-07-28,0.0,Assassination Games,7,2011,R,Summer,Action,-8000000.0,Scott Adkins,actor,"[""Roland Flint""]"
8000000.0,2011-07-28,0.0,Assassination Games,7,2011,R,Summer,Action,-8000000.0,Valentin Teodosiu,actor,"[""Blanchard""]"
8000000.0,2011-07-28,0.0,Assassination Games,7,2011,R,Summer,Action,-8000000.0,Jean-Claude Van Damme,actor,"[""Vincent Brazil""]"
8000000.0,2011-07-28,0.0,Assassination Games,7,2011,R,Summer,Action,-8000000.0,Ivan Kaye,actor,"[""Polo Yakur""]"
13000000.0,2010-11-27,0.0,Game of Death,11,2010,R,Holiday,Adventure,-13000000.0,Wesley Snipes,actor,"[""Marcus""]"
13000000.0,2010-11-27,0.0,Game of Death,11,2010,R,Holiday,Adventure,-13000000.0,Aunjanue Ellis,actress,"[""Rachel""]"
13000000.0,2010-11-27,0.0,Game of Death,11,2010,R,Holiday,Adventure,-13000000.0,Zoë Bell,actress,"[""Floria""]"
13000000.0,2010-11-27,0.0,Game of Death,11,2010,R,Holiday,Adventure,-13000000.0,Ernie Hudson,actor,"[""Clarence""]"
25000000.0,2011-04-01,0.0,Cat Run,4,2011,R,Spring,Action,-25000000.0,Janet McTeer,actress,"[""Helen Bingham""]"
25000000.0,2011-04-01,0.0,Cat Run,4,2011,R,Spring,Action,-25000000.0,Christopher McDonald,actor,"[""Bill Krebb""]"
25000000.0,2011-04-01,0.0,Cat Run,4,2011,R,Spring,Action,-25000000.0,Paz Vega,actress,"[""Catalina Rona""]"
25000000.0,2011-04-01,0.0,Cat Run,4,2011,R,Spring,Action,-25000000.0,Alphonso McAuley,actor,"[""Julian Simms""]"
1400000.0,2010-04-22,0.0,My Girlfriend's Boyfriend,4,2010,PG,Spring,Comedy,-1400000.0,Michael Landes,actor,"[""Troy Parker""]"
1400000.0,2010-04-22,0.0,My Girlfriend's Boyfriend,4,2010,PG,Spring,Comedy,-1400000.0,Alyssa Milano,actress,"[""Jesse Young""]"
1400000.0,2010-04-22,0.0,My Girlfriend's Boyfriend,4,2010,PG,Spring,Comedy,-1400000.0,Christopher Gorham,actor,"[""Ethan Reed""]"
1400000.0,2010-04-22,0.0,My Girlfriend's Boyfriend,4,2010,PG,Spring,Comedy,-1400000.0,Carol Kane,actress,"[""Barbara""]"
1000000.0,2010-07-13,0.0,Caught in the Crossfire,7,2010,R,Summer,Action,-1000000.0,Richard T. Jones,actor,"[""Captain Emmett""]"
1000000.0,2010-07-13,0.0,Caught in the Crossfire,7,2010,R,Summer,Action,-1000000.0,Chris Klein,actor,"[""Briggs""]"
1000000.0,2010-07-13,0.0,Caught in the Crossfire,7,2010,R,Summer,Action,-1000000.0,Adam Rodriguez,actor,"[""Shepherd""]"
1000000.0,2010-07-13,0.0,Caught in the Crossfire,7,2010,R,Summer,Action,-1000000.0,50 Cent,actor,"[""Tino""]"
9000000.0,2013-02-01,0.0,The Haunting in Connecticut 2: Ghosts of Georgia,2,2013,R,Winter,Horror,-9000000.0,Abigail Spencer,actress,"[""Lisa Wyrick""]"
9000000.0,2013-02-01,0.0,The Haunting in Connecticut 2: Ghosts of Georgia,2,2013,R,Winter,Horror,-9000000.0,Chad Michael Murray,actor,"[""Andy Wyrick""]"
9000000.0,2013-02-01,0.0,The Haunting in Connecticut 2: Ghosts of Georgia,2,2013,R,Winter,Horror,-9000000.0,Katee Sackhoff,actress,"[""Joyce""]"
9000000.0,2013-02-01,0.0,The Haunting in Connecticut 2: Ghosts of Georgia,2,2013,R,Winter,Horror,-9000000.0,Emily Alyn Lind,actress,"[""Heidi Wyrick""]"
7347125.0,2010-04-15,0.0,Beneath Hill 60,4,2010,R,Spring,Drama,-7347125.0,Brendan Cowell,actor,"[""Oliver Woodward""]"
7347125.0,2010-04-15,0.0,Beneath Hill 60,4,2010,R,Spring,Drama,-7347125.0,Harrison Gilbertson,actor,"[""Frank Tiffin""]"
7347125.0,2010-04-15,0.0,Beneath Hill 60,4,2010,R,Spring,Drama,-7347125.0,Steve Le Marquand,actor,"[""Bill Fraser""]"
7347125.0,2010-04-15,0.0,Beneath Hill 60,4,2010,R,Spring,Drama,-7347125.0,Gyton Grantley,actor,"[""Norman Morris""]"
560000.0,2012-07-10,0.0,Loving the Bad Man,7,2012,PG-13,Summer,Drama,-560000.0,Antoni Corone,actor,"[""Ed Thompson""]"
560000.0,2012-07-10,0.0,Loving the Bad Man,7,2012,PG-13,Summer,Drama,-560000.0,Kim Ostrenko,actress,"[""Marion Thompson""]"
560000.0,2012-07-10,0.0,Loving the Bad Man,7,2012,PG-13,Summer,Drama,-560000.0,Arturo Rossi,actor,"[""Mike Conner""]"
560000.0,2012-07-10,0.0,Loving the Bad Man,7,2012,PG-13,Summer,Drama,-560000.0,Cree Kelly,actress,"[""Julie Thompson""]"
3250000.0,2010-04-16,0.0,Adventures of a Teenage Dragonslayer,4,2010,PG,Spring,Adventure,-3250000.0,Eric Lutes,actor,"[""Shane""]"
3250000.0,2010-04-16,0.0,Adventures of a Teenage Dragonslayer,4,2010,PG,Spring,Adventure,-3250000.0,Lea Thompson,actress,"[""Laura""]"
3250000.0,2010-04-16,0.0,Adventures of a Teenage Dragonslayer,4,2010,PG,Spring,Adventure,-3250000.0,Hunter Allan,actor,"[""Arthur""]"
3250000.0,2010-04-16,0.0,Adventures of a Teenage Dragonslayer,4,2010,PG,Spring,Adventure,-3250000.0,Richard Sellers,actor,"[""Bart""]"
1500000.0,2010-08-14,0.0,Big Money Rustlas,8,2010,R,Summer,Action,-1500000.0,Violent J,actor,"[""Big Baby Chips""]"
1500000.0,2010-08-14,0.0,Big Money Rustlas,8,2010,R,Summer,Action,-1500000.0,Shaggy 2 Dope,actor,"[""Sheriff Sugar Wolf""]"
1500000.0,2010-08-14,0.0,Big Money Rustlas,8,2010,R,Summer,Action,-1500000.0,Tony Borcherding,actor,"[""The Foot""]"
1500000.0,2010-08-14,0.0,Big Money Rustlas,8,2010,R,Summer,Action,-1500000.0,Blaze Ya Dead Homie,actor,"[""The Mortician""]"
25000.0,2010-06-01,0.0,Deuce of Spades,6,2010,G,Summer,Drama,-25000.0,Timothy Luke,actor,"[""Johnny Callaway""]"
25000.0,2010-06-01,0.0,Deuce of Spades,6,2010,G,Summer,Drama,-25000.0,Faith Granger,actress,"[""Faith""]"
25000.0,2010-06-01,0.0,Deuce of Spades,6,2010,G,Summer,Drama,-25000.0,Alexandra Holder,actress,"[""Bettie Thompson""]"
25000.0,2010-06-01,0.0,Deuce of Spades,6,2010,G,Summer,Drama,-25000.0,Jordan Warren,actor,"[""Tommy Miller""]"
